libverto 0.3.2-6
libvips 8.18.6-1
libvlc 3.0.23_2-13
libvorbis 1.3.7-4
libvpl 2.17.0-1
libvpx 1.17.0-1
libvterm 0.3.3-2
libwacom 2.19.1-1
libwbclient 2:4.24.6-1
libwebp 1.6.0-2
libwireplumber 0.5.16-1
libx11 1.8.13-1
libx86emu 3.7-2
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxdp 1.6.3-2
libxext 1.3.7-1
libxfce4ui 4.20.2-1
libxfce4util 4.20.1-1
libxfixes 6.0.2-1
libxfont2 2.0.9-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxklavier 5.4-7
libxml2 2.15.3-1
libxmlb 0.3.29-1
libxmu 1.3.1-1
libxpm 3.5.19-1
libxpresent 1.0.2-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxres 1.2.3-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2921+644251f25-1
libzip 1.11.4-1
licenses 20240728-1
lilv 0.28.0-1
limine 12.6.1-1
linux 7.2.2.arch1-1
linux-api-headers 7.2-1
linux-firmware 20260810-2
linux-firmware-atheros 20260810-2
linux-firmware-intel 20260810-2
linux-firmware-nvidia 20260810-2
linux-firmware-other 20260810-2
linux-firmware-realtek 20260810-2
linux-firmware-whence 20260810-2
linux-headers 7.2.2.arch1-1
lksctp-tools 1.0.21-1
lld 22.1.8-1
llhttp 9.3.1-1
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
localsearch 3.11.2-1
localsend-bin 1.18.0-1
logrotate 3.22.0-1
loupe 50.0-1
lshw B.02.20-3
lsof 4.99.7-1
lsscsi 0.32-2
lua 5.5.1-1
lua-luarocks 3.13.0-5
lua51 5.1.5-13
lua51-lpeg 1.1.0-5
lua54 5.4.9-1
luajit 2.1.1787165859+1ee778a-1
luarocks 3.13.0-5
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-3
make 4.4.1-3
mako 1.11.0-1
man-db 2.13.1-2
mangohud 0.8.4-1
mariadb-libs 12.3.3-2
matugen 4.2.0-1
mbedtls3 3.6.7-1
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
meld 3.24.0-2
mesa 1:26.2.1-1
mesa-utils 9.0.0-7
meson 1.12.0-1
minizip 1:1.3.2-3
mjpegtools 2.2.1-4
mkinitcpio 41.1-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
mold 2.42.0-1
moreutils 0.70-1
mousepad 0.7.0-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
mpv 1:0.41.0-6
mpv-mpris 1.2-2
msgpack-c 7.0.1-1
mtdev 1.1.7-1
mujs 1.3.9-1
muparser 2.3.5-2
nano 9.2-1
nautilus 50.3-1
nautilus-python 4.1.0-3
ncnn 20260526-8
ncurses 6.6-2
ndctl 85-1
neon 0.37.1-1
neovim 0.12.5-1
nettle 4.0-1
nettle3 3.10.2-2
networkmanager 1.58.1-1
nfs-utils 2.9.2-1
nfsidmap 2.9.2-1
nftables 1:1.1.6-3
nilfs-utils 2.3.1-1
ninja 1.13.2-3
nm-connection-editor 1.36.0-2
nodejs 26.8.1-2
noto-fonts 1:2026.08.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.40-1
nss 3.128-1
nss-mdns 0.15.1-2
numactl 2.0.19-1
nvidia-open-dkms 610.57.04-1
nvidia-utils 610.57.04-1
nvtop 3.3.2-1
nwg-look 1.1.1-3
ocl-icd 2.3.5-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
openal 1.25.2-2
opencl-nvidia 610.57.04-1
opencore-amr 0.1.6-2
opencv 5.0.0-9
openexr 3.4.15-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.31.0-1
openrgb 1.0rc3-3
openssh 10.5p1-1
openssl 3.6.4-1
opus 1.6.1-1
opusfile 0.12-4
orc 0.4.43-1
osinfo-db 20260812-1
ostree 2026.4-1
otf-atkinson-hyperlegible 1.006-2
otf-atkinsonhyperlegiblemono-nerd 3.5.1-2
otf-font-awesome 7.3.1-1
otf-space-grotesk 2.0.0-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260610-1
pacutils 0.15.0-2
